feature_hash,occurrences,label_count,labels
14780546301552177491,10,2,BENIGN | DoS Hulk
11921086800570957975,5,2,BENIGN | DDoS
10318351393522193286,2,2,BENIGN | DoS Hulk
10143674442682735830,2,2,BENIGN | DDoS
5637169386660079786,2,2,BENIGN | DDoS
16375128299168764083,5,2,BENIGN | DoS Hulk
17957479058742657271,7,2,BENIGN | DoS Hulk
742474177450153542,5,2,BENIGN | DoS Hulk
1676153123259510862,3362,2,BENIGN | DoS Hulk
16699817225246313848,4,2,BENIGN | DoS Hulk
9425414464082345911,4,2,BENIGN | PortScan
4190214672637415344,5,2,BENIGN | PortScan
3074062466737657907,3,2,BENIGN | PortScan
9220503070374208211,3,2,BENIGN | PortScan
3443545543104429649,2,2,BENIGN | PortScan
5962874157471149668,6,2,BENIGN | DoS Hulk
1182047580052537164,10,2,BENIGN | DoS Hulk
16902215693356448270,3,2,BENIGN | PortScan
6078090764376030538,4,2,BENIGN | PortScan
14419919917615883816,8,2,BENIGN | PortScan
946336167340452348,2,2,BENIGN | PortScan
11605826458435202892,5,2,BENIGN | PortScan
6269265090281141089,12,2,BENIGN | PortScan
13740071751083420325,6,2,BENIGN | PortScan
9067323458792676340,4,2,BENIGN | PortScan
919988963701266990,2,2,BENIGN | PortScan
2230660635257540040,3,2,BENIGN | PortScan
6798647695061209410,3,2,BENIGN | PortScan
2857965691180419347,4,2,BENIGN | PortScan
5594194353451612938,12,2,BENIGN | PortScan
5846197016905331677,2,2,BENIGN | PortScan
6231428295433664073,4,2,BENIGN | PortScan
16326636062616828491,4,2,BENIGN | PortScan
10885931114844209775,3,2,BENIGN | PortScan
13976889495235730690,2,2,BENIGN | PortScan
10507808500309941571,2,2,BENIGN | PortScan
15748733213915484226,3,2,BENIGN | PortScan
8538751377538118664,4,2,BENIGN | PortScan
3862480474200204567,3,2,BENIGN | PortScan
14409329567185611316,8,2,BENIGN | PortScan
16551157559912304427,7,2,BENIGN | PortScan
11505400718228541133,2,2,BENIGN | PortScan
3381906859783331246,2,2,BENIGN | PortScan
13845253141556351076,2,2,BENIGN | PortScan
12139244379171872580,5,2,BENIGN | PortScan
11660571341057542280,3,2,BENIGN | PortScan
8285874045978827225,5,2,BENIGN | PortScan
2409644974266129451,14,2,BENIGN | PortScan
17320725141271051011,2,2,BENIGN | PortScan
5129884168230615380,3,2,BENIGN | PortScan
12931596827802737214,3,2,BENIGN | PortScan
9387741998251912582,5,2,BENIGN | PortScan
15087372922087887882,4,2,BENIGN | PortScan
13506411987681383123,3,2,BENIGN | PortScan
