label,total_groups,total_records,train_groups,train_records,train_percentage,validation_groups,validation_records,validation_percentage,test_groups,test_records,test_percentage
BENIGN,2096544,2279030,1467565,1595322,0.7000004387831665,314499,341854,0.14999978060841673,314480,341854,0.14999978060841673
DoS Hulk,172849,231234,122026,161864,0.7000008649247083,24665,34685,0.14999956753764584,26158,34685,0.14999956753764584
PortScan,90819,159495,63578,111645,0.6999905953164676,13620,23925,0.1500047023417662,13621,23925,0.1500047023417662
DDoS,128016,128030,89610,89620,0.6999921893306257,19203,19205,0.1500039053346872,19203,19205,0.1500039053346872
DoS GoldenEye,10286,10293,7200,7205,0.6999902846594773,1543,1544,0.15000485767026134,1543,1544,0.15000485767026134
FTP-Patator,5933,7938,4461,5556,0.6999244142101285,521,1191,0.15003779289493574,951,1191,0.15003779289493574
SSH-Patator,3219,5897,2255,4127,0.6998473800237409,482,885,0.15007630998812957,482,885,0.15007630998812957
DoS Slowloris,5385,5800,3771,4060,0.7,807,870,0.15,807,870,0.15
DoS Slowhttptest,5228,5499,3665,3849,0.6999454446262957,784,825,0.15002727768685215,779,825,0.15002727768685215
Bot,1953,1966,1367,1376,0.6998982706002035,293,295,0.15005086469989828,293,295,0.15005086469989828
Web Attack - Brute Force,1470,1507,1030,1055,0.7000663570006636,220,226,0.14996682149966822,220,226,0.14996682149966822
Web Attack - XSS,652,652,456,456,0.6993865030674846,98,98,0.15030674846625766,98,98,0.15030674846625766
Infiltration,36,36,24,24,0.6666666666666666,6,6,0.16666666666666666,6,6,0.16666666666666666
Web Attack - SQL Injection,21,21,15,15,0.7142857142857143,3,3,0.14285714285714285,3,3,0.14285714285714285
Heartbleed,11,11,7,7,0.6363636363636364,2,2,0.18181818181818182,2,2,0.18181818181818182
