Label,train,validation,test,total
BENIGN,1591117,340987,340993,2273097
Bot,1376,295,295,1966
DDoS,89617,19205,19205,128027
DoS GoldenEye,7205,1544,1544,10293
DoS Hulk,161803,34639,34631,231073
DoS Slowhttptest,3849,825,825,5499
DoS Slowloris,4060,866,870,5796
FTP-Patator,5556,1191,1191,7938
Heartbleed,7,2,2,11
Infiltration,24,6,6,36
PortScan,111249,23841,23840,158930
SSH-Patator,4127,885,885,5897
Web Attack - Brute Force,1055,226,226,1507
Web Attack - SQL Injection,15,3,3,21
Web Attack - XSS,456,98,98,652
