conflict_group_id,occurrences,label_count,labels,label_counts,source_file_count,source_files
1,5,2,BENIGN | DDoS,BENIGN: 1 | DDoS: 4,2,Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
2,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
3,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
4,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
5,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
6,12,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 11,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
7,8,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 7,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
8,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
9,12,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 11,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
10,7,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 6,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
11,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
12,7,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 6,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
13,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
14,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
15,14,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 13,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
16,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
17,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
18,8,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 7,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
19,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
20,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
21,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
22,7,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 6,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
23,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
24,8,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 7,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
25,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
26,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
27,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
28,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
29,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
30,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
31,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
32,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
33,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
34,7,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 6,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
35,10,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 9,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
36,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
37,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
38,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
39,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
40,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
41,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
42,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
43,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
44,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
45,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
46,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
47,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
48,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
49,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
50,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
51,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
52,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
53,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
54,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
55,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
56,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
57,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
58,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
59,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
60,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
61,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
62,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
63,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
64,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
65,7,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 6,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
66,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
67,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
68,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
69,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
70,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
71,4,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 3,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
72,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
73,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
74,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
75,6,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 5,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
76,5,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 4,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
77,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
78,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
79,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
80,3,2,BENIGN | PortScan,BENIGN: 1 | PortScan: 2,2,Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv | Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv
